date,new_cases,new_deaths,new_tests
30-01-2020,1,0,
31-01-2020,4,0,
01-02-2020,0,0,
02-02-2020,,0,
03-02-2020,1,0,
04-02-2020,4,0,
05-02-2020,0,0,
06-02-2020,0,0,
07-02-2020,0,0,
08-02-2020,0,0,
09-02-2020,0,0,
10-02-2020,0,0,
11-02-2020,0,0,
12-02-2020,0,0,
13-02-2020,0,0,
14-02-2020,0,0,
15-02-2020,0,0,
16-02-2020,0,0,
17-02-2020,0,0,
18-02-2020,0,0,
19-02-2020,0,0,
20-02-2020,0,0,
21-02-2020,0,0,
22-02-2020,0,0,
23-02-2020,0,0,
24-02-2020,0,0,
25-02-2020,0,0,
26-02-2020,0,0,
27-02-2020,0,0,
28-02-2020,0,0,
29-02-2020,0,0,
01-03-2020,0,0,
02-03-2020,,0,
03-03-2020,4,0,
04-03-2020,19,0,
05-03-2020,1,0,
06-03-2020,2,0,
07-03-2020,3,0,
08-03-2020,5,0,
09-03-2020,5,0,
10-03-2020,6,0,
11-03-2020,10,0,
12-03-2020,13,0,
13-03-2020,8,1,
14-03-2020,3,1,
15-03-2020,23,0,
16-03-2020,7,0,
17-03-2020,23,1,
18-03-2020,14,0,
19-03-2020,22,1,191
20-03-2020,50,0,1060
21-03-2020,60,0,1325
22-03-2020,77,3,1298
23-03-2020,74,2,3708
24-03-2020,85,0,157
25-03-2020,87,1,4280
26-03-2020,43,3,
27-03-2020,75,4,
28-03-2020,185,2,
29-03-2020,70,6,
30-03-2020,92,4,
31-03-2020,180,3,
01-04-2020,386,6,
02-04-2020,328,12,
03-04-2020,336,6,21294
04-04-2020,601,12,10705
05-04-2020,472,9,9584
06-04-2020,693,32,11534
07-04-2020,354,5,12947
08-04-2020,853,35,13904
09-04-2020,591,20,16991
10-04-2020,547,30,16420
11-04-2020,1035,40,18044
12-04-2020,909,34,16374
13-04-2020,796,35,21806
14-04-2020,1211,31,27339
15-04-2020,1076,38,29706
16-04-2020,941,37,28357
17-04-2020,1007,23,32167
18-04-2020,991,43,37000
19-04-2020,1334,27,29463
20-04-2020,1553,36,
21-04-2020,1336,47,
