location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
India,30-01-2020,1,1,0.143,,0,0,0.001,0.001,0,,0,0
India,31-01-2020,5,4,0.714,,0,0,0.004,0.003,0.001,,0,0
India,01-02-2020,5,0,0.714,,0,0,0.004,0,0.001,,0,0
India,02-02-2020,2,,,,0,0,0.001,,,,0,0
India,03-02-2020,3,1,0.857,,0,0,0.002,0.001,0.001,,0,0
India,04-02-2020,7,4,1.429,,0,0,0.005,0.003,0.001,,0,0
India,05-02-2020,7,0,1.429,,0,0,0.005,0,0.001,,0,0
India,06-02-2020,7,0,1.286,,0,0,0.005,0,0.001,,0,0
India,07-02-2020,7,0,0.714,,0,0,0.005,0,0.001,,0,0
India,08-02-2020,7,0,0.714,,0,0,0.005,0,0.001,,0,0
India,09-02-2020,7,0,0.714,,0,0,0.005,0,0.001,,0,0
India,10-02-2020,7,0,0.571,,0,0,0.005,0,0,,0,0
India,11-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,12-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,13-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,14-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,15-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,16-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,17-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,18-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,19-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,20-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,21-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,22-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,23-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,24-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,25-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,26-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,27-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,28-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,29-02-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,01-03-2020,7,0,0,,0,0,0.005,0,0,,0,0
India,02-03-2020,5,,,,0,0,0.004,,,,0,0
India,03-03-2020,9,4,0.571,,0,0,0.006,0.003,0,,0,0
India,04-03-2020,28,19,3.286,,0,0,0.02,0.013,0.002,,0,0
India,05-03-2020,29,1,3.429,,0,0,0.02,0.001,0.002,,0,0
India,06-03-2020,31,2,3.714,,0,0,0.022,0.001,0.003,,0,0
India,07-03-2020,34,3,4.143,,0,0,0.024,0.002,0.003,,0,0
India,08-03-2020,39,5,4.857,,0,0,0.028,0.004,0.003,,0,0
India,09-03-2020,44,5,5.571,,0,0,0.031,0.004,0.004,,0,0
India,10-03-2020,50,6,5.857,,0,0,0.035,0.004,0.004,,0,0
India,11-03-2020,60,10,4.571,,0,0,0.042,0.007,0.003,,0,0
India,12-03-2020,73,13,6.286,,0,0,0.052,0.009,0.004,,0,0
India,13-03-2020,81,8,7.143,1,1,0.143,0.057,0.006,0.005,0.001,0.001,0
India,14-03-2020,84,3,7.143,2,1,0.286,0.059,0.002,0.005,0.001,0.001,0
India,15-03-2020,107,23,9.714,2,0,0.286,0.076,0.016,0.007,0.001,0,0
India,16-03-2020,114,7,10,2,0,0.286,0.08,0.005,0.007,0.001,0,0
India,17-03-2020,137,23,12.429,3,1,0.429,0.097,0.016,0.009,0.002,0.001,0
India,18-03-2020,151,14,13,3,0,0.429,0.107,0.01,0.009,0.002,0,0
India,19-03-2020,173,22,14.286,4,1,0.571,0.122,0.016,0.01,0.003,0.001,0
India,20-03-2020,223,50,20.286,4,0,0.429,0.157,0.035,0.014,0.003,0,0
India,21-03-2020,283,60,28.429,4,0,0.286,0.2,0.042,0.02,0.003,0,0
India,22-03-2020,360,77,36.143,7,3,0.714,0.254,0.054,0.026,0.005,0.002,0.001
India,23-03-2020,434,74,45.714,9,2,1,0.306,0.052,0.032,0.006,0.001,0.001
India,24-03-2020,519,85,54.571,9,0,0.857,0.366,0.06,0.039,0.006,0,0.001
India,25-03-2020,606,87,65,10,1,1,0.428,0.061,0.046,0.007,0.001,0.001
India,26-03-2020,649,43,68,13,3,1.286,0.458,0.03,0.048,0.009,0.002,0.001
India,27-03-2020,724,75,71.571,17,4,1.857,0.511,0.053,0.051,0.012,0.003,0.001
India,28-03-2020,909,185,89.429,19,2,2.143,0.641,0.131,0.063,0.013,0.001,0.002
India,29-03-2020,979,70,88.429,25,6,2.571,0.691,0.049,0.062,0.018,0.004,0.002
India,30-03-2020,1071,92,91,29,4,2.857,0.756,0.065,0.064,0.02,0.003,0.002
India,31-03-2020,1251,180,104.571,32,3,3.286,0.883,0.127,0.074,0.023,0.002,0.002
India,01-04-2020,1637,386,147.286,38,6,4,1.155,0.272,0.104,0.027,0.004,0.003
India,02-04-2020,1965,328,188,50,12,5.286,1.387,0.231,0.133,0.035,0.008,0.004
India,03-04-2020,2301,336,225.286,56,6,5.571,1.624,0.237,0.159,0.04,0.004,0.004
India,04-04-2020,2902,601,284.714,68,12,7,2.048,0.424,0.201,0.048,0.008,0.005
India,05-04-2020,3374,472,342.143,77,9,7.429,2.381,0.333,0.241,0.054,0.006,0.005
India,06-04-2020,4067,693,428,109,32,11.429,2.87,0.489,0.302,0.077,0.023,0.008
India,07-04-2020,4421,354,452.857,114,5,11.714,3.12,0.25,0.32,0.08,0.004,0.008
India,08-04-2020,5274,853,519.571,149,35,15.857,3.721,0.602,0.367,0.105,0.025,0.011
India,09-04-2020,5865,591,557.143,169,20,17,4.139,0.417,0.393,0.119,0.014,0.012
India,10-04-2020,6412,547,587.286,199,30,20.429,4.525,0.386,0.414,0.14,0.021,0.014
India,11-04-2020,7447,1035,649.286,239,40,24.429,5.255,0.73,0.458,0.169,0.028,0.017
India,12-04-2020,8356,909,711.714,273,34,28,5.896,0.641,0.502,0.193,0.024,0.02
India,13-04-2020,9152,796,726.429,308,35,28.429,6.458,0.562,0.513,0.217,0.025,0.02
India,14-04-2020,10363,1211,848.857,339,31,32.143,7.312,0.855,0.599,0.239,0.022,0.023
India,15-04-2020,11439,1076,880.714,377,38,32.571,8.072,0.759,0.621,0.266,0.027,0.023
India,16-04-2020,12380,941,930.714,414,37,35,8.736,0.664,0.657,0.292,0.026,0.025
India,17-04-2020,13387,1007,996.429,437,23,34,9.446,0.711,0.703,0.308,0.016,0.024
India,18-04-2020,14378,991,990.143,480,43,34.429,10.146,0.699,0.699,0.339,0.03,0.024
India,19-04-2020,15712,1334,1050.857,507,27,33.429,11.087,0.941,0.742,0.358,0.019,0.024
India,20-04-2020,17265,1553,1159,543,36,33.571,12.183,1.096,0.818,0.383,0.025,0.024
India,21-04-2020,18601,1336,1176.857,590,47,35.857,13.125,0.943,0.83,0.416,0.033,0.025
India,22-04-2020,19984,1383,1220.714,640,50,37.571,14.101,0.976,0.861,0.452,0.035,0.027
India,23-04-2020,21393,1409,1287.571,681,41,38.143,15.096,0.994,0.909,0.481,0.029,0.027
India,24-04-2020,23077,1684,1384.286,718,37,40.143,16.284,1.188,0.977,0.507,0.026,0.028
India,25-04-2020,24506,1429,1446.857,775,57,42.143,17.292,1.008,1.021,0.547,0.04,0.03
India,26-04-2020,26496,1990,1540.571,824,49,45.286,18.696,1.404,1.087,0.581,0.035,0.032
India,27-04-2020,27892,1396,1518.143,872,48,47,19.681,0.985,1.071,0.615,0.034,0.033
India,28-04-2020,29435,1543,1547.714,934,62,49.143,20.77,1.089,1.092,0.659,0.044,0.035
India,29-04-2020,31332,1897,1621.143,1007,73,52.429,22.109,1.339,1.144,0.711,0.052,0.037
India,30-04-2020,33050,1718,1665.286,1074,67,56.143,23.321,1.212,1.175,0.758,0.047,0.04
India,01-05-2020,35043,1993,1709.429,1147,73,61.286,24.727,1.406,1.206,0.809,0.052,0.043
India,02-05-2020,37336,2293,1832.857,1218,71,63.286,26.345,1.618,1.293,0.859,0.05,0.045
India,03-05-2020,39980,2644,1926.286,1301,83,68.143,28.211,1.866,1.359,0.918,0.059,0.048
India,04-05-2020,42533,2553,2091.571,1373,72,71.571,30.013,1.801,1.476,0.969,0.051,0.051
India,05-05-2020,46433,3900,2428.286,1568,195,90.571,32.765,2.752,1.713,1.106,0.138,0.064
India,06-05-2020,49391,2958,2579.857,1694,126,98.143,34.852,2.087,1.82,1.195,0.089,0.069
India,07-05-2020,52952,3561,2843.143,1783,89,101.286,37.365,2.513,2.006,1.258,0.063,0.071
India,08-05-2020,56342,3390,3042.714,1886,103,105.571,39.757,2.392,2.147,1.331,0.073,0.074
India,09-05-2020,59662,3320,3189.429,1981,95,109,42.099,2.343,2.251,1.398,0.067,0.077
India,10-05-2020,62939,3277,3279.857,2109,128,115.429,44.412,2.312,2.314,1.488,0.09,0.081
India,11-05-2020,67152,4213,3517,2206,97,119,47.384,2.973,2.482,1.557,0.068,0.084
India,12-05-2020,70756,3604,3474.714,2293,87,103.571,49.928,2.543,2.452,1.618,0.061,0.073
India,13-05-2020,74281,3525,3555.714,2415,122,103,52.415,2.487,2.509,1.704,0.086,0.073
India,14-05-2020,78003,3722,3578.714,2549,134,109.429,55.041,2.626,2.525,1.799,0.095,0.077
India,15-05-2020,81970,3967,3661.143,2649,100,109,57.84,2.799,2.583,1.869,0.071,0.077
India,16-05-2020,85940,3970,3754,2752,103,110.143,60.642,2.801,2.649,1.942,0.073,0.078
India,17-05-2020,90927,4987,3998.286,2872,120,109,64.161,3.519,2.821,2.027,0.085,0.077
India,18-05-2020,96169,5242,4145.286,3029,157,117.571,67.86,3.699,2.925,2.137,0.111,0.083
India,19-05-2020,101139,4970,4340.429,3163,134,124.286,71.367,3.507,3.063,2.232,0.095,0.088
India,20-05-2020,106750,5611,4638.429,3303,140,126.857,75.326,3.959,3.273,2.331,0.099,0.09
India,21-05-2020,112359,5609,4908,3435,132,126.571,79.284,3.958,3.463,2.424,0.093,0.089
India,22-05-2020,118447,6088,5211,3583,148,133.429,83.58,4.296,3.677,2.528,0.104,0.094
India,23-05-2020,125101,6654,5594.429,3720,137,138.286,88.275,4.695,3.948,2.625,0.097,0.098
India,24-05-2020,131868,6767,5848.714,3867,147,142.143,93.05,4.775,4.127,2.729,0.104,0.1
India,25-05-2020,138845,6977,6096.571,4021,154,141.714,97.973,4.923,4.302,2.837,0.109,0.1
India,26-05-2020,145380,6535,6320.143,4167,146,143.429,102.585,4.611,4.46,2.94,0.103,0.101
India,27-05-2020,151767,6387,6431,4337,170,147.714,107.091,4.507,4.538,3.06,0.12,0.104
India,28-05-2020,158333,6566,6567.714,4531,194,156.571,111.725,4.633,4.634,3.197,0.137,0.11
India,29-05-2020,165799,7466,6764.571,4706,175,160.429,116.993,5.268,4.773,3.321,0.123,0.113
India,30-05-2020,173763,7964,6951.714,4971,265,178.714,122.612,5.62,4.905,3.508,0.187,0.126
India,31-05-2020,182143,8380,7182.143,5164,193,185.286,128.526,5.913,5.068,3.644,0.136,0.131
India,01-06-2020,190535,8392,7384.286,5394,230,196.143,134.447,5.922,5.211,3.806,0.162,0.138
India,02-06-2020,198706,8171,7618,5598,204,204.429,140.213,5.766,5.375,3.95,0.144,0.144
